model	percentile	io_type	io_size	latency
HFA	75	seqRead	4.0	1.366460317460317460317460317460317460
HFA	75	write	64.0	0.354376543209876543209876543209876543
HFA	76	nsRead	0.5	0.216222222222222222222222222222222222
HFA	79	write	256.0	0.954797434763379035824856258292790801
HFA	80	nsRead	1.0	0.457806318164723580293343362166227905
HFA	80	nsRead	512.0	12.012292307692307692307692307692307692
HFA	82	nsRead	32.0	2.490995767195767195767195767195767196
HFA	82	nsRead	128.0	4.255416666666666666666666666666666667
HFA	82	write	64.0	0.663851063829787234042553191489361702
HFA	83	nsRead	0.5	0.294152505446623093681917211328976035
HFA	83	write	8.0	0.345866141732283464566929133858267717
HFA	84	nsRead	0.0	0.003729166666666666666666666666666667
HFA	85	nsRead	512.0	15.080096153846153846153846153846153846
HFA	85	seqRead	32.0	4.888800000000000000000000000000000000
HFA	85	write	32.0	0.596641025641025641025641025641025641
HFA	86	nsRead	128.0	5.295851428571428571428571428571428571
HFA	86	seqRead	8.0	4.436826848249027237354085603112840467
HFA	87	write	1.0	0.317038235294117647058823529411764706
HFA	88	nsRead	2.0	0.644386831275720164609053497942386831
HFA	91	write	16.0	0.474095011876484560570071258907363420
HFA	92	nsRead	256.0	15.856083157894736842105263157894736842
HFA	92	seqRead	128.0	9.622672268907563025210084033613445378
HFA	93	nsRead	256.0	16.970337931034482758620689655172413793
HFA	95	seqRead	4.0	15.443000000000000000000000000000000000
HFA	95	write	512.0	3.109753694581280788177339901477832512
HFA	96	nsRead	32.0	6.846400000000000000000000000000000000
HFA	96	nsRead	128.0	11.964860720562390158172231985940246046
HFA	97	nsRead	0.0	0.004375000000000000000000000000000000
HFA	97	write	16.0	0.562235772357723577235772357723577236
HFA	99	seqRead	4.0	42.269500000000000000000000000000000000
HFA	99	write	16.0	0.804710191082802547770700636942675159
AFA	0	nsRead	0.0	0.000833333333333333333333333333333333
AFA	1	nsRead	2.0	0.043438223938223938223938223938223938
AFA	2	nsRead	4.0	0.115629629629629629629629629629629630
AFA	4	nsRead	256.0	0.442000000000000000000000000000000000
AFA	5	nsRead	2.0	0.066500000000000000000000000000000000
