model	percentile	io_type	io_size	latency
AFA	63	nsRead	64.0	0.882387874099479407073286162511466483
AFA	64	nsRead	64.0	0.891373498053816212557116263327128110
AFA	65	nsRead	64.0	0.900685131073500811675265602648793738
AFA	66	nsRead	64.0	0.910296581635564686412144039262683330
AFA	67	nsRead	64.0	0.920273747818612767952491339567108588
AFA	68	nsRead	64.0	0.930713374720216225347354195700831961
AFA	69	nsRead	64.0	0.941528930179359374737184411040777766
AFA	70	nsRead	64.0	0.952809946347503095336359884440775898
AFA	71	nsRead	64.0	0.964552086885142388078550230472943108
AFA	72	nsRead	64.0	0.976682678023175200554620184213132614
AFA	73	nsRead	64.0	0.989402847873107426099495313626532084
AFA	74	nsRead	64.0	1.002795618900673258079211411278045743
AFA	75	nsRead	64.0	1.016779427628656640649787423059838822
AFA	76	nsRead	64.0	1.031435582061950993989828941285251965
AFA	77	nsRead	64.0	1.047062780269058295964125560538116592
AFA	78	nsRead	64.0	1.063816248052231419243371888645212543
AFA	79	nsRead	64.0	1.081618865893903369811714447305852831
AFA	80	nsRead	64.0	1.100820512820512820512820512820512821
AFA	81	nsRead	64.0	1.121531828425330536278731473285005900
AFA	82	nsRead	64.0	1.143641470180305131761442441054091540
AFA	83	nsRead	64.0	1.167033090909090909090909090909090909
AFA	84	nsRead	64.0	1.191721740537791033733324084992254514
AFA	85	nsRead	64.0	1.218670851506109003379555541045935712
AFA	86	nsRead	64.0	1.248499208491558768357963123941986549
AFA	87	nsRead	64.0	1.282259960937500000000000000000000000
AFA	88	nsRead	64.0	1.321376850556935783741094786028068905
AFA	89	nsRead	64.0	1.367197604592535241854009498541228012
AFA	90	nsRead	64.0	1.421561739398067854116130048617259784
AFA	91	nsRead	64.0	1.487265607816198860403543026364830392
AFA	92	nsRead	64.0	1.567362140812007795203198258150583392
AFA	93	nsRead	64.0	1.669112478012987074230041922690597339
AFA	94	nsRead	64.0	1.799254019292604501607717041800643087
AFA	95	nsRead	64.0	1.982931147032949456174024312220089571
AFA	96	nsRead	64.0	2.247186972359880712218226471362161214
AFA	97	nsRead	64.0	2.668136176250902164424585354379986405
AFA	98	nsRead	64.0	3.355362000336876446130796712795099334
AFA	99	nsRead	64.0	4.929151927641285521842324716146000385
HFA	0	nsRead	64.0	0.000000000000000000000000000000000000
HFA	1	nsRead	64.0	0.107204504504504504504504504504504505
HFA	2	nsRead	64.0	0.123350806451612903225806451612903226
HFA	3	nsRead	64.0	0.136479348418756815703380588876772083
HFA	4	nsRead	64.0	0.149182242990654205607476635514018692
HFA	5	nsRead	64.0	0.161539777373920945024988641526578828
HFA	6	nsRead	64.0	0.174756427604871447902571041948579161
HFA	7	nsRead	64.0	0.188990203299773097841578965371766074
HFA	8	nsRead	64.0	0.204142857142857142857142857142857143
HFA	9	nsRead	64.0	0.220315076424270495599814729041222788
HFA	10	nsRead	64.0	0.237372104247104247104247104247104247
