model	io_type	io_size	percentile	latency	mints	maxts	cnt
AFA	write	16.0	26	0.089501499863648759203708753749659122	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	27	0.090017265193370165745856353591160221	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	28	0.090529895776193088315962698848052660	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	29	0.091040843214756258234519104084321476	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	30	0.091554022128597865889672008504941529	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	31	0.092067734712953503032410929721974654	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	32	0.092584000000000000000000000000000000	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	33	0.093101144333702473237356958287190845	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	34	0.093620689655172413793103448275862069	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	35	0.094143369175627240143369175627240143	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	36	0.094668122270742358078602620087336245	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	37	0.095196428571428571428571428571428571	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	38	0.095729689807976366322008862629246677	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	39	0.096266511567791133514282021455344449	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	40	0.096807034891933888967368272354852380	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	41	0.097354662361205529118513482891457059	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	42	0.097908527973927213470939706681151548	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	43	0.098469504168494953927161035541904344	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	44	0.099036697247706422018348623853211009	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	45	0.099613898305084745762711864406779661	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	46	0.100198023806772217727955622327516468	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	47	0.100793503480278422273781902552204176	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	48	0.101399423631123919308357348703170029	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	49	0.102014409221902017291066282420749280	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	50	0.102646168768186226964112512124151309	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	51	0.103287353086072207755647828840875501	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	52	0.103939834024896265560165975103734440	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	53	0.104601275432736106893410264196781051	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	54	0.105275000000000000000000000000000000	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	55	0.105960729869099563665212217374057914	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	56	0.106655851680185399768250289687137891	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	57	0.107363670503408002703869913814146497	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	58	0.108082990961380443714050944946589975	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	59	0.108815730837789661319073083778966132	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	60	0.109554211528122865902387283320982811	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	61	0.110305668016194331983805668016194332	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	62	0.111066201957142036423524004672628737	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	63	0.111842323651452282157676348547717842	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	64	0.112640044282777162739206073066582319	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	65	0.113456730769230769230769230769230769	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	66	0.114292923433874709976798143851508121	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	67	0.115152014652014652014652014652014652	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	68	0.116033730158730158730158730158730159	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	69	0.116943406695024967634547808396523026	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	70	0.117878852284803400637619553666312434	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	71	0.118847336337132255499602438377948582	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	72	0.119865517241379310344827586206896552	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	73	0.120942028985507246376811594202898551	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	74	0.122074297188755020080321285140562249	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	75	0.123280487804878048780487804878048780	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	76	0.124570851735015772870662460567823344	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	77	0.125966666666666666666666666666666667	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	78	0.127472127417519908987485779294653015	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	79	0.129107491856677524429967426710097720	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	80	0.130900000000000000000000000000000000	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	81	0.132880733944954128440366972477064220	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	82	0.135119402985074626865671641791044776	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	83	0.137704087985059140900601784602614650	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	84	0.140715699643689790172876435138345137	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	85	0.144333333333333333333333333333333333	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	86	0.148809065507606333436820863085998137	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	87	0.154564787042591481703659268146370726	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	88	0.162285714285714285714285714285714286	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	89	0.173208333333333333333333333333333333	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	90	0.189917733089579524680073126142595978	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	91	0.218800000000000000000000000000000000	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	92	0.282351557248487564418552543132422138	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	93	0.372117585848074921956295525494276795	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	94	0.405619855869523990138441115114735445	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	95	0.437172413793103448275862068965517241	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	96	0.481704438149197355996222851746931067	2022-02-22 00:00:00	2022-02-25 23:59:00	366056
AFA	write	16.0	97	0.564621095334685598377281947261663286	2022-02-22 00:00:00	2022-02-25 23:59:00	366055
AFA	write	16.0	98	0.718500000000000000000000000000000000	2022-02-22 00:00:00	2022-02-25 23:59:00	366055
AFA	write	16.0	99	1.246874223983725579600855810038230858	2022-02-22 00:00:00	2022-02-25 23:59:00	366055
AFA	write	8.0	0	0.003000000000000000000000000000000000	2022-02-22 00:00:00	2022-02-25 23:59:00	367110
AFA	write	8.0	1	0.052727602905569007263922518159806295	2022-02-22 00:00:00	2022-02-25 23:59:00	367110
AFA	write	8.0	2	0.055077633314490295835688713020538911	2022-02-22 00:00:00	2022-02-25 23:59:00	367110
AFA	write	8.0	3	0.056717148280953385361738029951487028	2022-02-22 00:00:00	2022-02-25 23:59:00	367110
AFA	write	8.0	4	0.058090186993215290418666225384742677	2022-02-22 00:00:00	2022-02-25 23:59:00	367110
AFA	write	8.0	5	0.059302367472979927946474523932063819	2022-02-22 00:00:00	2022-02-25 23:59:00	367110
AFA	write	8.0	6	0.060374692874692874692874692874692875	2022-02-22 00:00:00	2022-02-25 23:59:00	367110
AFA	write	8.0	7	0.061336410033662721250950157454663916	2022-02-22 00:00:00	2022-02-25 23:59:00	367110
AFA	write	8.0	8	0.062213475935828877005347593582887701	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	9	0.063012787723785166240409207161125320	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	10	0.063749745050989802039592081583683263	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	11	0.064434018264840182648401826484018265	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	12	0.065083241984105234310770073992874760	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	13	0.065704123272921398130638170812258526	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	14	0.066301804150589216810929189696527271	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	15	0.066875000000000000000000000000000000	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	16	0.067429530201342281879194630872483221	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	17	0.067963604577240940877304513668150032	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	18	0.068479028697571743929359823399558499	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	19	0.068982081911262798634812286689419795	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	20	0.069469427058257101588830043331728455	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	21	0.069948658109684947491248541423570595	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	22	0.070418263543884551691506978944878164	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	23	0.070880393790563059112436414664094019	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	24	0.071335420210956107519564477713507996	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	25	0.071787299002646041115408100956645634	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	26	0.072235067116633120961273627022200699	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	27	0.072680942184154175588865096359743041	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	28	0.073125480307396733909702209414024976	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	29	0.073572012311611122903842071746975165	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	30	0.074021125287596737084291989123614307	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	31	0.074472528180354267310789049919484702	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	32	0.074926137482765412645262950561355131	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	33	0.075381120250685468076772424598511555	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	34	0.075838562464346833998859098687963491	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	35	0.076295873184555437477860432164364152	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	36	0.076755576976039658496282015973561002	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	37	0.077217511263227744211224810533300737	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	38	0.077683539471675064895403878454725912	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	39	0.078151785714285714285714285714285714	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	40	0.078625046869141357330333708286464192	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	41	0.079101338432122370936902485659655832	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	42	0.079581349096734987017291862328048174	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	43	0.080064124783362218370883882149046794	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	44	0.080553996650241522440954438429982766	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	45	0.081049077793261742765800475448807279	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	46	0.081555038759689922480620155038759690	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	47	0.082070321181014868511561458278215779	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	48	0.082601671309192200557103064066852368	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	49	0.083143075162151850438763830599008012	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	50	0.083699149948996939816388983339000340	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	51	0.084269493844049247606019151846785226	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	52	0.084853242320819112627986348122866894	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	53	0.085454786060873400970445522717247464	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
AFA	write	8.0	54	0.086071671346239101522092507758238510	2022-02-22 00:00:00	2022-02-25 23:59:00	367109
