model	io_type	io_size	percentile	latency	mints	maxts	cnt
AFA	nsRead	128.0	30	0.920142857142857142857142857142857143	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	31	0.935189189189189189189189189189189189	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	32	0.950126799837761103224498073413100791	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	33	0.965090909090909090909090909090909091	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	34	0.980008539325842696629213483146067416	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	35	0.994866666666666666666666666666666667	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	36	1.009505700743018191135024340251088906	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	37	1.024032909170688898639754278192189557	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	38	1.038542372881355932203389830508474576	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	39	1.053000000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	40	1.067417331350547519264566716236312018	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	41	1.081864554122265844083006169377453730	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	42	1.096226253057825430697964919585697184	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	43	1.110550000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	44	1.124750497512437810945273631840796020	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	45	1.138818181818181818181818181818181818	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	46	1.152826030927835051546391752577319588	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	47	1.166764539007092198581560283687943262	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	48	1.180703651930805521579591123536606675	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	49	1.194614285714285714285714285714285714	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	50	1.208500000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	51	1.222361858190709046454767726161369193	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	52	1.236259740259740259740259740259740260	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	53	1.250140060240963855421686746987951807	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	54	1.264020270270270270270270270270270270	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	55	1.277995983935742971887550200803212851	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	56	1.291962301587301587301587301587301587	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	57	1.306000000000000000000000000000000000	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	58	1.320142857142857142857142857142857143	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	59	1.334448464163822525597269624573378840	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	60	1.348930581613508442776735459662288931	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	61	1.363571428571428571428571428571428571	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	62	1.378465684604904632152588555858310627	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	63	1.393617771509167842031029619181946403	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	64	1.409041465766634522661523625843780135	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
AFA	nsRead	128.0	65	1.424914565826330532212885154061624650	2022-02-26 00:00:00	2022-03-07 23:59:00	689712
